agent,dev_accuracy,test_accuracy,gap,dev_source
Visual (XceptionNet),0.962,0.9648,-0.0028,validation accuracy under the released frame-averaged inference
Audio (FreqNet),0.98,0.9357,0.0443,"§3.3.2, reported accuracy for the final audio agent"
Audio Forensics (ECAPA-TDNN),0.962,0.9778,-0.0158,released model validation accuracy at its best epoch (indicative)
Cross-Modal (Lip-Sync),0.992,0.9801,0.0119,validation accuracy of the released model
Biometric-Quality,0.9916,0.9931,-0.0015,"validation accuracy of the released model, Section 3.3.4"
