members,auc,ap,accuracy,errors,false_pos,false_neg,margin,worst_method_recall,recall_spread
"['Visual', 'FreqNet', 'ECAPA', 'CrossModal', 'Biometric']",1.0,1.0,0.9986123959296948,3,0,3,0.06057090000000004,0.9873417721518988,0.012658227848101222
"['Visual', 'ECAPA', 'CrossModal', 'Biometric']",0.9999958539255034,0.9999997607644056,0.9958371877890841,9,0,9,-0.007243941176470536,0.9940711462450593,0.005928853754940677
"['FreqNet', 'ECAPA', 'CrossModal', 'Biometric']",1.0,1.0,0.9990749306197965,2,0,2,0.032668437500000036,0.9873417721518988,0.012658227848101222
"['Visual', 'FreqNet', 'CrossModal', 'Biometric']",0.9999502471060401,0.9999971267109515,0.9967622571692877,7,0,7,-0.07333343749999999,0.9953917050691244,0.004608294930875556
"['Visual', 'FreqNet', 'ECAPA', 'Biometric']",1.0,1.0,0.9990749306197965,2,0,2,0.040601000000000054,0.9746835443037974,0.025316455696202556
"['Visual', 'FreqNet', 'ECAPA', 'CrossModal']",0.9999751235530201,0.9999985642346175,0.9981498612395929,4,1,3,-0.152124875,0.9873417721518988,0.012658227848101222
